Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),U_AB (V) error,U_mano (V) error,U_sample (V) error,U_field (V) error,pressure_manometer/Pascal,temp_manometer/K,pressure_manometer error/Pascal,temp_manometer_lower/K,temp_manometer_upper/K,R_AB (Ohm),R_AB (Ohm) error
11.0,0.12497104,0.000445303,7.9395e-05,0.000133241,9.748552e-06,3.52226515e-06,3.50396975e-06,3.50666205e-06,46.81060429411667,1.125891474153058,0.39167120333857114,1.1248298620036528,1.126945914560176,124971.04000000001,9.748552
12.0,0.12497505,0.000451284,7.9437e-05,0.00013292,9.7487525e-06,3.5225642e-06,3.50397185e-06,3.506646e-06,47.43933175448212,1.1275806699523558,0.39170358280278,1.1265304293737957,1.1286239132810336,124975.05,9.748752500000002
13.0,0.12498686,0.000453917,7.8956e-05,0.00013264,9.749343000000001e-06,3.52269585e-06,3.5039477999999998e-06,3.506632e-06,47.71611480132081,1.1283185587906948,0.39171783712969216,1.1272732355072943,1.1293569595443553,124986.86000000002,9.749343000000001
14.0,0.12498588,0.000398417,7.9479e-05,0.000131955,9.749294e-06,3.51992085e-06,3.50397395e-06,3.50659775e-06,41.88191081364618,1.1119698463969583,0.39141737562432694,1.110808085216492,1.1131227969279405,124985.88,9.749294
15.0,0.1249977,0.000384476,7.9196e-05,0.00013155,9.749885e-06,3.5192238e-06,3.5039598e-06,3.5065775e-06,40.416421844417854,1.1075736079372294,0.39134190294241167,1.1063776744222547,1.108760129800597,124997.70000000001,9.749885
16.0,0.1250159,0.000427729,7.905e-05,0.000130865,9.750795000000001e-06,3.52138645e-06,3.5039525e-06,3.5065432499999998e-06,44.96321148547895,1.120819395512556,0.3915760626089263,1.11972265394503,1.1219084113281794,125015.90000000002,9.750795000000002
17.0,0.12501634,0.000465817,7.9018e-05,0.000130616,9.750817e-06,3.52329085e-06,3.5039509e-06,3.5065308e-06,48.96705223291231,1.1316109177932139,0.39178226040741915,1.130587170437818,1.1326280652364207,125016.34000000001,9.750817
18.0,0.12501915,0.000439465,7.9416e-05,0.000130647,9.7509575e-06,3.52197325e-06,3.5039707999999998e-06,3.50653235e-06,46.19690910708884,1.1242248454131403,0.3916395980364393,1.1231518548916208,1.1252904872241125,125019.15,9.750957500000002
19.0,0.12505004,0.00042681,7.9437e-05,0.000130419,9.752502e-06,3.5213405e-06,3.50397185e-06,3.5065209499999998e-06,44.86660547710646,1.1205495403590728,0.39157108739949514,1.1194508873967457,1.1216404367777193,125050.04000000001,9.752502000000002
20.0,0.12504451,0.000453488,7.9531e-05,0.000129911,9.7522255e-06,3.5226744e-06,3.50397655e-06,3.50649555e-06,47.67101798130797,1.128198569742032,0.39171551464346155,1.1271524489102813,1.129237755955101,125044.51000000001,9.7522255
21.0,0.12504181,0.0004481,7.905e-05,0.000129371,9.7520905e-06,3.522405e-06,3.5039525e-06,3.50646855e-06,47.10462715093696,1.1266836949234538,0.3916863455156974,1.1256274359598293,1.127732864582561,125041.81000000001,9.752090500000001
22.0,0.12507573,0.000434097,7.9343e-05,0.000128894,9.7537865e-06,3.52170485e-06,3.50396715e-06,3.5064447e-06,45.632620692569255,1.1226764780377725,0.3916105371830915,1.1215927729238377,1.1237526656286265,125075.73,9.7537865
23.0,0.12505871,0.000426381,7.8977e-05,0.000128333,9.7529355e-06,3.52131905e-06,3.50394885e-06,3.50641665e-06,44.821508657093624,1.120423407285242,0.3915687649132645,1.1193238594223966,1.1215151841649598,125058.70999999999,9.7529355
