Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),pressure_manometer/Pascal,temp_manometer/K
32.0,0.10518761,0.002561863,8.0819e-05,0.000153734,269.30506901758724,1.391653026939564
33.0,0.10522929,0.002543676,8.1887e-05,0.000154087,267.39323716310366,1.3903601442169347
34.0,0.10523576,0.002550187,8.2002e-05,0.000154482,268.07767864353156,1.3908238283425287
35.001,0.10523224,0.002570987,8.4106e-05,0.000154865,270.26419112900237,1.3922989348667831
36.0,0.10524549,0.002625854,9.3005e-05,0.000154129,276.0318536549798,1.3961457482401385
37.0,0.10523753,0.002676597,0.000104154,0.000155623,281.3659980323955,1.399647913962176
38.0,0.10525094,0.002564435,0.00012282,0.000156069,269.5754396960791,1.3918352862594139
39.0,0.10525176,0.002563639,0.000132964,0.000156526,269.4917635451928,1.3917788946877923
40.0,0.10524024,0.002558576,0.000138481,0.000156847,268.95953697240725,1.3914198922775591
41.0,0.10524027,0.002553596,0.00014269,0.00015721,268.4360354254051,1.3910662328225607
42.0,0.105237,0.002542737,0.00014605,0.00015776,267.29452873887976,1.3902931962991276
43.0,0.10521237,0.002571171,0.000148332,0.000157999,270.2835333548354,1.3923119421808765
44.0,0.1052283,0.002578519,0.000151012,0.000158445,271.055960938645,1.3928307925994652
45.0,0.10522155,0.002554331,0.000152886,0.000158871,268.5132992079446,1.3911184634563125
46.0,0.10521076,0.002544533,0.000155514,0.000159213,267.4833256823367,1.390421228909714
47.0,0.10520974,0.002567905,0.000157315,0.000159587,269.94020884629947,1.3920809540825545
48.0,0.10519338,0.002579907,0.000159084,0.000160085,271.2018685987332,1.3929286709834097
49.0,0.10522776,0.002553269,0.000160947,0.000160458,268.40166092623446,1.3910429917415188
50.0,0.10523491,0.002546472,0.000162947,0.000160904,267.6871548991314,1.3905593763382809
51.0,0.10523227,0.002561822,0.000163722,0.000161382,269.3007590650918,1.3916501204032674
52.0,0.10526092,0.002559699,0.000165857,0.000161444,269.0775876224642,1.391499568807813
53.0,0.10524957,0.002565598,0.000167459,0.000162004,269.69769517783885,1.3919176528613626
54.0,0.10527183,0.002541124,0.000169584,0.000162585,267.12496890046316,1.3901781490299476
55.0,0.10527206,0.002550983,0.000171207,0.000162907,268.16135479441783,1.3908804523482206
56.0,0.10525453,0.002553576,0.000174086,0.000163281,268.4339330095537,1.391064811416535
57.0,0.10526372,0.002556107,0.000176891,0.000163665,268.69999373555015,1.3912446212307692
58.0,0.10528774,0.002530184,0.000178095,0.000164028,265.9749474297396,1.389396342161209
59.0,0.10527942,0.002541022,0.000178849,0.000164526,267.11424657962095,1.3901708719573145
60.0,0.10526517,0.00257315,0.00017865,0.000165045,270.4915674033329,1.3924517955117923
61.0,0.10526637,0.00255925,0.000178148,0.000165377,269.0303883865999,1.3914677156658601
62.0,0.10526642,0.002539226,0.000179037,0.000165511,266.92544963616393,1.390042700961373
63.0,0.10527379,0.0025429,0.000178472,0.000166259,267.31166342806875,1.3903048191029048
64.0,0.10528502,0.00255231,0.000178786,0.000166653,268.3008500861592,1.3909748186928976
65.0,0.10528935,0.002552473,0.000178964,0.000166819,268.3179847753482,1.390986407391367
66.0,0.10529713,0.00252902,0.000179236,0.000167265,265.8525868271872,1.3893130035224188
67.0,0.10529362,0.002544207,0.000179184,0.000167825,267.4490563039587,1.3903979943885876
68.0,0.10529605,0.002562434,0.000179372,0.000168157,269.36509299014506,1.391693501994226
69.0,0.1052952,0.002557556,0.000179184,0.000168541,268.8523137639851,1.3913474998656734
70.0,0.10528998,0.002558536,0.000179655,0.000168956,268.95533214070446,1.3914170537846264
71.0,0.10530793,0.002542594,0.00017931,0.000169392,267.2794964655421,1.3902829991263845
72.0,0.10527141,0.002565312,0.000179215,0.00016988,269.6676306311636,1.3918974003252065
73.0,0.10529678,0.002551412,0.000179613,0.000170253,268.20645161443065,1.390910963827445
74.0,0.1052953,0.00255131,0.000179624,0.000170554,268.19572929358844,1.390903709713434
75.0,0.10529375,0.002540696,0.00017999,0.000170969,267.07997720124285,1.3901476123303795
76.0,0.10527727,0.002560393,0.000180137,0.000171333,269.1505414525082,1.3915487942457594
77.0,0.10528162,0.00256419,0.000179456,0.000171976,269.54968510189923,1.3918179310152545
78.0,0.10528137,0.002549371,0.00018,0.000172183,267.99190007679385,1.3907657672742988
79.0,0.10528118,0.002542696,0.000180126,0.000172754,267.29021878638434,1.390290272680078
80.0,0.10528821,0.002555168,0.000179477,0.000171903,268.60128531132625,1.3911779281125378
81.0,0.10527148,0.002558474,0.000179812,0.000171903,268.94881465156504,1.3914126540520029
82.0,0.10529012,0.002554515,0.000179739,0.00017125,268.5326414337776,1.3911315370408845
83.0,0.10528323,0.002546595,0.00017954,0.000171011,267.70008475661757,1.3905681369121405
84.0,0.10529545,0.002544717,0.000179529,0.000170658,267.50266790816977,1.3904343418447653
85.0,0.10529306,0.002556719,0.00017955,0.000170326,268.76432766060344,1.39128807863821
86.0,0.1052931,0.002555433,0.000179603,0.000169797,268.62914232135756,1.3911967518599908
87.0,0.10529113,0.002530674,0.000180231,0.000168967,266.0264566180992,1.3894314156088123
88.0,0.1053098,0.002530714,0.000179634,0.000168853,266.03066144980204,1.3894342785128742
89.0,0.10531525,0.002562761,0.000179571,0.000169143,269.3994674893157,1.39171667805295
90.0,0.10532414,0.002545023,0.000179372,0.000168344,267.5348348706964,1.3904561475839667
91.0,0.10530215,0.002526795,0.000179906,0.000167991,265.6186930637174,1.3891536171865142
92.0,0.10531137,0.002513201,0.000178975,0.000167307,264.1896810095111,1.3881774287002284
93.0,0.10530008,0.002585908,0.000179121,0.00016686,271.83269847495006,1.3933513737593384
94.0,0.10531919,0.002651062,0.000179236,0.000166331,278.68173859410234,1.397892092077867
95.0,0.10531478,0.002552371,0.000178901,0.000166165,268.307262454506,1.3909791556355509
